market,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,rent_to_value,score
"Syracuse, NY",1619.196972641321,1524.2607668913522,91,6.2283441135591335,254402.043028522,240608.2843705009,91,5.73286937900307,0.07637660232751134,6.502496528949914
"Chicago, IL",2179.817593148377,2064.9745603312463,3,5.5614744618795,344686.99214684305,330914.28733352735,3,4.162015766769915,0.07588859374953381,5.749852327268789
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,244469.08147317427,234275.092791648,35,4.3512899984601745,0.06964930655043912,5.224078639079345
"Akron, OH",1259.422335600907,1206.478946239395,83,4.3882563824704,235211.8125717086,226456.8285820672,83,3.8660719769236915,0.06425301459978074,4.84271458405869
"Virginia Beach, VA",1819.3044546157373,1716.570034758375,38,5.984866202783465,369237.9758106419,361836.7672245274,38,2.045455093711334,0.05912624075965816,4.781370232016531
"Grand Rapids, MI",1619.7125847698917,1556.3294877804817,53,4.0726014309349186,350806.2062296981,334366.0112803306,53,4.9168259914983174,0.055405379585879364,4.7662497573998435
"Buffalo, NY",1373.7361692214224,1320.8858425132132,50,4.001127501499473,278777.30821441393,267185.2114776719,50,4.338599682456877,0.0591326250197459,4.67600965592923
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,366073.654773456,358335.07619139133,85,2.1595928214215294,0.06271556882432595,4.658690829022559
"Albany, NY",1643.1499277717587,1579.3864262873285,64,4.037232460856295,360401.1379002233,344339.9673227564,64,4.664335279561798,0.05471070165910508,4.65551461798421
"Jackson, MS",1440.2537343620454,1384.855085679858,98,4.000320990624879,210759.1148796135,206796.14137672188,98,1.9163672380483436,0.08200378342932733,4.635152070544274
"Wichita, KS",1173.0530754530755,1119.9885134151166,94,4.737955916722057,220488.0679961564,214599.1334347635,94,2.7441557974338675,0.06384307791967361,4.633721443509192
"New York, NY",3337.13988779536,3202.101188402823,1,4.217190258746731,715583.951353278,687072.3507493674,1,4.1497231802173316,0.05596223696438672,4.610660166495494
"Milwaukee, WI",1503.898724650894,1451.1699191597063,41,3.633537657789944,379291.409236208,360443.26959561225,41,5.229155662066274,0.04758026218456187,4.449569627272716
"Hartford, CT",1931.1910957081727,1877.5656516578413,49,2.856115524002135,389416.08129060426,370646.2943580856,49,5.06406976630527,0.059510365036014284,4.4469780905728635
"Rochester, NY",1533.5048992555078,1486.2245516305238,52,3.1812384994658522,273095.6739503352,263387.96967507305,52,3.685705268633941,0.06738319404654014,4.399702801772728
"Winston, NC",1508.340138181601,1446.363106137069,89,4.285025785126644,280078.4807090881,273447.2471786535,89,2.4250503886412025,0.06462503514141597,4.380276484885497
"Pittsburgh, PA",1478.5450759029336,1422.435563740758,27,3.944608359946891,224487.2591324515,221606.41402054208,27,1.299982730482867,0.07903584808956479,4.338913605810561
"Providence, RI",2127.3318326062013,2028.3066831371468,39,4.882158614982916,514315.2176474589,499966.0730888853,39,2.87002365378952,0.04963489532361602,4.302917401838503
"New Haven, CT",2088.849338798614,2040.336147913923,68,2.377705797855508,397332.86244724976,379960.30902418384,68,4.572202151241063,0.06308612862071326,4.21532682313592
"St. Louis, MO",1415.989568522473,1364.3489907178323,21,3.784997691644191,270704.4865033018,263559.72832673404,21,2.7108686983128387,0.0627690920152608,4.210332446609352
"Allentown, PA",1809.255419192313,1747.1264248207658,70,3.556067465347898,357470.0893738984,347449.1303151787,70,2.8841514294853625,0.06073533332071012,4.109732414606071
"Harrisburg, PA",1445.832280911996,1400.8093620467769,99,3.2140646746845194,306956.080254164,296340.3677348082,99,3.5822701444629725,0.056522703041353387,4.055988004453301
"Cincinnati, OH",1549.064240175312,1494.5149922233306,28,3.6499632479986492,305194.83921496774,297607.65928626055,28,2.549390007939713,0.06090788078172749,4.052038725033198
"Philadelphia, PA",1868.832651986005,1808.0784217438331,7,3.360154599023219,383957.83059877664,373920.1232399102,7,2.6844523027786313,0.0584074344540885,3.9016205640655324
"Kansas City, MO",1503.3240640764095,1456.915110831978,31,3.185426034735102,323088.455147229,313483.8649472716,31,3.063822822770458,0.05583575792176254,3.8683899983780545
"Detroit, MI",1473.3170913555934,1439.8213597439849,14,2.326381073938537,262839.8217654431,255116.5363680326,14,3.0273558536671348,0.06726456051261703,3.8566960010540656
"Bridgeport, CT",2766.550759286882,2712.053542951267,60,2.009444705738038,674486.495616743,640946.1569915239,60,5.232941684626189,0.049220569021305824,3.8502774583222465
"Little Rock, AR",1209.303280750517,1178.9404647568429,81,2.575432509218048,227427.75653036404,221153.61075721437,81,2.8370080649678044,0.06380768816610449,3.7955060681606954
"Tulsa, OK",1350.049102641662,1318.777549271087,56,2.3712530887304983,250274.8652438059,243918.18871980635,56,2.606069091182693,0.06473118751225018,3.6722575882145128
"Omaha, NE",1411.7868121280287,1363.9563844700192,59,3.5067417259529576,304632.4245030368,298929.0595791356,59,1.9079325817071668,0.0556127331920554,3.643458460654995
"Minneapolis, MN",1681.2579918505862,1622.5171141739863,16,3.6203548895386857,386374.1840177592,379073.8092049751,16,1.9258452141800795,0.052216469776561754,3.592389613366351
"Richmond, VA",1690.906071815458,1631.8941842261806,45,3.6161589495007584,391101.78957448015,383881.197441924,45,1.8809444642436577,0.051881309169825134,3.567186194168155
"Columbia, SC",1550.5894812573854,1511.5777234273182,72,2.5808635060863923,253198.62288286936,250866.6154909284,72,0.9295806009808729,0.07348805283074675,3.515861167651221
"El Paso, TX",1472.7362460527977,1443.9599156515656,69,1.992875985636156,230500.1377258557,227343.0696605256,69,1.3886801432057325,0.07667168934038851,3.5139051174278375
"Oklahoma City, OK",1379.2916590501306,1341.4305311974058,42,2.8224441722620357,244630.2918448738,242061.7228189972,42,1.0611215172575101,0.06765924115030401,3.4770913585911876
"Louisville, KY",1371.3713558427746,1339.5813408503898,46,2.3731306209598277,277723.5848229106,271277.9629786346,46,2.3760211752930616,0.05925480286669457,3.4397026869726868
"Madison, WI",1673.1994360400815,1626.7743083703388,88,2.853814904186082,443055.9358589337,429918.7158646071,88,3.055745076812127,0.04531796463477202,3.4177884237612317
"Greensboro, NC",1427.8279983059226,1386.423106511873,76,2.9864542504792086,263849.83086342533,261701.4455789074,76,0.820929849953827,0.06493821096493325,3.389006984125829
"Indianapolis, IN",1513.5063950599276,1475.2721367167603,34,2.5916749453601295,290744.5746756315,287108.6417250039,34,1.2663962076453703,0.06246746568179857,3.29061281089162
"Boise City, ID",1794.3527533235515,1720.9227722650546,79,4.266895774866722,488569.9782549433,485514.9985077279,79,0.6292245876244992,0.044071952838344,3.2176842713843588
"Augusta, GA",1442.6514676948427,1427.0770496609578,96,1.0913508865961448,246559.8938323081,241501.0186082047,96,2.094763514149222,0.07021343716229995,3.171372523752223
"Fresno, CA",1999.3400980599752,1943.1569326398264,57,2.89133442988686,409963.1223301206,407254.0846353935,57,0.6651959543026851,0.05852253500352699,3.111768608351359
"Baton Rouge, LA",1361.240857011272,1330.830852997171,66,2.2850389999311016,245384.55691368552,244028.3291739169,66,0.5557665146336574,0.06656853426143314,3.077801582205532
"Worcester, MA",2139.527678119612,2091.8372984660277,58,2.2798321690007337,472894.6395856258,465714.4571258871,58,1.541756402421026,0.05429186543525318,3.0032157513841966
"Birmingham, AL",1406.9167294316028,1384.8255094986437,51,1.5952349073174519,259032.550894902,255663.93351989324,51,1.3175958488281059,0.06517713968708597,2.9886869081879914
"New Orleans, LA",1610.2984904485918,1610.4403793932895,47,-0.00881056799824943,256891.79305880444,251638.3757595082,47,2.087685267972383,0.07522070540011291,2.8794025151958023
"Boston, MA",3148.343094068694,3087.2312285189846,10,1.9795039964993526,731138.5580115025,719664.3386156372,10,1.5943848791976283,0.05167299236901955,2.8203068334296155
"Baltimore, MD",1868.3969815282571,1829.1031465158403,20,2.1482569251092003,399959.8141579682,396624.7585516088,20,0.8408591582982292,0.05605754124459058,2.7932867548708664
United States,1910.4249941685807,1875.848731532796,0,1.8432329885966774,366018.81522011664,364397.6998965514,0,0.4448752898345619,0.06263366520170897,2.7497657384403085
"Des Moines, IA",1268.0793185967866,1245.2222559888194,84,1.8355809573783002,290939.66544689325,286845.5151436768,84,1.427301487062043,0.05230277487185421,2.7315060752255595
"Ogden, UT",1640.7230184509788,1610.2378918394606,87,1.8932063868335218,515981.2047466151,502635.5264292078,87,2.6551402787257805,0.03815773915850353,2.698556813106249
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,326730.1088525419,322982.6741664121,32,1.160258733940318,0.055589125931639165,2.6959426043857615
"Provo, UT",1742.6751761644548,1705.9874827382655,92,2.1505253583280814,542078.1389108676,530107.6168039724,92,2.258130562066944,0.03857765257973625,2.6949788893434032
"Greenville, SC",1551.0590318388563,1544.1801900368553,61,0.4454688543722903,310898.0151014505,305591.1555557797,61,1.736588068466574,0.059867569035436524,2.495191033351984
"Knoxville, TN",1730.9390785480855,1716.5398131076424,65,0.838854148938991,361803.8791881092,357155.8849456156,65,1.301390915958543,0.05741029916314861,2.448267909257618
"Spokane, WA",1520.2836228925346,1491.2035975380538,100,1.9501042917607818,416800.1733597983,414701.1941126934,100,0.5061425616571799,0.04377014368216683,2.2449887956664716
"Albuquerque, NM",1488.904571167752,1476.18162466859,62,0.8618821889222675,348859.6422167218,345859.66721302475,62,0.8673966027525456,0.051215023728407125,2.1414225682468846
"Salt Lake City, UT",1607.0705085301731,1617.1467752151314,48,-0.6230891864232774,564834.9693100314,555496.6443575026,48,1.6810767530971653,0.03414244363432259,1.2793606603895162
